Name,AoA_CL_Max,AoA_L0,CD0_Min,CD_Min,CL_LD_Max,CL_Max,CL_Max_CD0_Min,CM0,Classification,LASTTWO,LD_Max,Model,dCl_dAoA_Slope,para_AILERON_BIAS_[]AssignedValue,para_AILERON_BIAS_[]Maximum,para_AILERON_BIAS_[]Minimum,para_CHORD_[]AssignedValue,para_CHORD_[]Maximum,para_CHORD_[]Minimum,para_CONTROL_CHANNEL_AILERONS_[]AssignedValue,para_CONTROL_CHANNEL_FLAPS_[]AssignedValue,para_DIAMETER_[]AssignedValue,para_DIAMETER_[]Maximum,para_DIAMETER_[]Minimum,para_FLAP_BIAS_[]AssignedValue,para_FLAP_BIAS_[]Maximum,para_FLAP_BIAS_[]Minimum,para_OFFSET_[]AssignedValue,para_OFFSET_[]Maximum,para_OFFSET_[]Minimum,para_SERVO_LENGTH_[]AssignedValue,para_SERVO_LENGTH_[]Maximum,para_SERVO_LENGTH_[]Minimum,para_SERVO_WIDTH_[]AssignedValue,para_SERVO_WIDTH_[]Maximum,para_SERVO_WIDTH_[]Minimum,para_SPAN_[]AssignedValue,para_SPAN_[]Maximum,para_SPAN_[]Minimum,para_TUBE_OFFSET_[]AssignedValue,para_TUBE_OFFSET_[]Maximum,para_TUBE_OFFSET_[]Minimum
right_NACA_4412,16,-3.9,0.0092,0.0096,0.4,1.65,179,-0.089,Wing,12,22.1,NACA_4412,0.1,0.5,1,-1,304.8,609.6,25.4,7,6,10.16,12.852,7.315,0.5,1,0,50,762,0,25.7,70,23.1,32.8,65,28,1016,1524,76.2,50,10000,0
right_NACA_6418,18,-5.7,0.0132,0.0137,0.45,1.51,114,-0.118,Wing,18,18.1,NACA_6418,0.099,0.5,1,-1,304.8,609.6,25.4,7,6,10.16,12.852,7.315,0.5,1,0,50,762,0,25.7,70,23.1,32.8,65,28,1016,1524,76.2,50,10000,0
left_NACA_6515,18,-6.0,0.0127,0.0134,0.44,1.67,132,-0.15,Wing,15,18.7,NACA_6515,0.099,-0.5,1,-1,304.8,609.6,25.4,7,6,10.16,12.852,7.315,0.5,1,0,50,762,0,25.7,70,23.1,32.8,65,28,1016,1524,76.2,50,10000,0
right_NACA_2521,16,-1.8,0.0126,0.0126,0.44,1.38,109,-0.043,Wing,21,17.7,NACA_2521,0.095,0.5,1,-1,304.8,609.6,25.4,7,6,10.16,12.852,7.315,0.5,1,0,50,762,0,25.7,70,23.1,32.8,65,28,1016,1524,76.2,50,10000,0
right_NACA_6421,18,-5.2,0.0146,0.0148,0.46,1.41,97,-0.11,Wing,21,16.9,NACA_6421,0.096,0.5,1,-1,304.8,609.6,25.4,7,6,10.16,12.852,7.315,0.5,1,0,50,762,0,25.7,70,23.1,32.8,65,28,1016,1524,76.2,50,10000,0
right_NACA_2512,17,-2.1,0.0088,0.0091,0.39,1.62,184,-0.054,Wing,12,22.3,NACA_2512,0.102,0.5,1,-1,304.8,609.6,25.4,7,6,10.16,12.852,7.315,0.5,1,0,50,762,0,25.7,70,23.1,32.8,65,28,1016,1524,76.2,50,10000,0
right_NACA_4315,15,-3.6,0.0107,0.0108,0.42,1.56,146,-0.068,Wing,15,20.2,NACA_4315,0.103,0.5,1,-1,304.8,609.6,25.4,7,6,10.16,12.852,7.315,0.5,1,0,50,762,0,25.7,70,23.1,32.8,65,28,1016,1524,76.2,50,10000,0
left_NACA_6518,18,-5.7,0.0141,0.0142,0.46,1.61,114,-0.139,Wing,18,17.4,NACA_6518,0.095,-0.5,1,-1,304.8,609.6,25.4,7,6,10.16,12.852,7.315,0.5,1,0,50,762,0,25.7,70,23.1,32.8,65,28,1016,1524,76.2,50,10000,0
left_NACA_4418,17,-3.7,0.0116,0.012,0.43,1.47,127,-0.078,Wing,18,19.2,NACA_4418,0.096,-0.5,1,-1,304.8,609.6,25.4,7,6,10.16,12.852,7.315,0.5,1,0,50,762,0,25.7,70,23.1,32.8,65,28,1016,1524,76.2,50,10000,0
left_NACA_4518,17,-3.9,0.0125,0.0126,0.43,1.54,123,-0.094,Wing,18,18.4,NACA_4518,0.096,-0.5,1,-1,304.8,609.6,25.4,7,6,10.16,12.852,7.315,0.5,1,0,50,762,0,25.7,70,23.1,32.8,65,28,1016,1524,76.2,50,10000,0
right_NACA_6321,17,-5.2,0.0144,0.0145,0.47,1.37,95,-0.09,Wing,21,17.0,NACA_6321,0.096,0.5,1,-1,304.8,609.6,25.4,7,6,10.16,12.852,7.315,0.5,1,0,50,762,0,25.7,70,23.1,32.8,65,28,1016,1524,76.2,50,10000,0
