Name,Classification,DIAMETER,Direction,HUB_THICKNESS,MODEL,PITCH,Performance_File,SHAFT_DIAMETER,Weight
apc_propellers_8x3_75,Propeller,203.2,1,11.43,apc_propellers_8x3_75,95.25,PER3_8x375.dat,6.35,0.01701
apc_propellers_16x5_5MRP,Propeller,406.4,-1,9.4,apc_propellers_16x5_5MRP,139.7,PER3_16x55MR.dat,6.35,0.04395
apc_propellers_9_5x7_5N,Propeller,241.3,1,14.73,apc_propellers_9_5x7_5N,190.5,PER3_95x75N.dat,6.35,0.02894
apc_propellers_8x6E,Propeller,203.2,1,9.4,apc_propellers_8x6E,152.4,PER3_8x6E.dat,6.35,0.01402
apc_propellers_14x14E,Propeller,355.6,1,11.68,apc_propellers_14x14E,355.6,PER3_14x14E.dat,6.35,0.03602
apc_propellers_7x4,Propeller,177.8,1,10.16,apc_propellers_7x4,101.6,PER3_7x4.dat,4.76,0.01193
apc_propellers_8_8x8_9,Propeller,223.52,1,15.24,apc_propellers_8_8x8_9,226.06,PER3_88x89.dat,6.35,0.02608
apc_propellers_10x5_5MRP,Propeller,254.0,-1,8.89,apc_propellers_10x5_5MRP,139.7,PER3_10x55MR.dat,6.35,0.01501
apc_propellers_9x9,Propeller,228.6,1,10.92,apc_propellers_9x9,228.6,PER3_9x9.dat,6.35,0.02409
apc_propellers_11x7E,Propeller,279.4,1,10.41,apc_propellers_11x7E,177.8,PER3_11x7E.dat,6.35,0.023
apc_propellers_10x8E,Propeller,254.0,1,10.16,apc_propellers_10x8E,203.2,PER3_10x8E.dat,6.35,0.02
apc_propellers_25x12_5E,Propeller,635.0,1,16.0,apc_propellers_25x12_5E,317.5,PER3_25x125E.dat,7.94,0.22312
apc_propellers_4_7x4_2E,Propeller,119.38,1,6.6,apc_propellers_4_7x4_2E,106.68,PER3_47x42E.dat,6.35,0.00313
apc_propellers_5x5EP,Propeller,127.0,-1,6.35,apc_propellers_5x5EP,127.0,PER3_5x5E.dat,6.35,0.0039900000000000005
apc_propellers_20x13EP,Propeller,508.0,-1,12.95,apc_propellers_20x13EP,330.2,PER3_20x13E.dat,6.35,0.09802
apc_propellers_7x6SF,Propeller,177.8,1,8.13,apc_propellers_7x6SF,152.4,PER3_7x6SF.dat,6.35,0.00513
apc_propellers_15x10EP,Propeller,381.0,-1,12.19,apc_propellers_15x10EP,254.0,PER3_15x10E.dat,6.35,0.045
apc_propellers_20x12,Propeller,508.0,1,19.3,apc_propellers_20x12,304.8,PER3_20x12.dat,7.94,0.1911
apc_propellers_19x8E,Propeller,482.6,1,12.45,apc_propellers_19x8E,203.2,PER3_19x8E.dat,6.35,0.08301
apc_propellers_12x10E,Propeller,304.8,1,10.67,apc_propellers_12x10E,254.0,PER3_12x10E.dat,6.35,0.02599
apc_propellers_8x4,Propeller,203.2,1,10.16,apc_propellers_8x4,101.6,PER3_8x4.dat,6.35,0.015880000000000002
apc_propellers_18x10E,Propeller,457.2,1,12.45,apc_propellers_18x10E,254.0,PER3_18x10E.dat,6.35,0.07298
apc_propellers_26x13E,Propeller,660.4,1,13.97,apc_propellers_26x13E,330.2,PER3_26x13E.dat,7.94,0.20901
apc_propellers_12x3_8SF,Propeller,304.8,1,7.62,apc_propellers_12x3_8SF,96.52,PER3_12x38SF.dat,6.35,0.01787
apc_propellers_4_1x4_1E,Propeller,104.14,1,7.62,apc_propellers_4_1x4_1E,104.14,PER3_41x41E.dat,6.35,0.00313
apc_propellers_13x5_5MR,Propeller,330.2,1,9.14,apc_propellers_13x5_5MR,139.7,PER3_13x55MR.dat,6.35,0.023989999999999997
apc_propellers_11x4_5EP,Propeller,279.4,-1,10.92,apc_propellers_11x4_5EP,114.3,PER3_11x45EP.dat,6.35,0.02495
apc_propellers_24x12E,Propeller,609.6,1,14.48,apc_propellers_24x12E,304.8,PER3_24x12E.dat,7.94,0.16402000000000003
apc_propellers_8_8x8_75,Propeller,223.52,1,14.73,apc_propellers_8_8x8_75,222.25,PER3_88x875.dat,6.35,0.026940000000000002
apc_propellers_11x13,Propeller,279.4,1,13.72,apc_propellers_11x13,330.2,PER3_11x13.dat,7.94,0.041100000000000005
apc_propellers_11x3_8SFP,Propeller,279.4,-1,7.87,apc_propellers_11x3_8SFP,96.52,PER3_11x38SF.dat,6.35,0.01501
apc_propellers_16x4W,Propeller,406.4,1,13.72,apc_propellers_16x4W,101.6,PER3_16x4W.dat,7.94,0.08505
apc_propellers_19x12WE,Propeller,482.6,1,13.97,apc_propellers_19x12WE,304.8,PER3_19x12WE.dat,6.35,0.11198999999999999
apc_propellers_8x6,Propeller,203.2,1,11.43,apc_propellers_8x6,152.4,PER3_8x6.dat,6.35,0.019010000000000003
apc_propellers_27x13E,Propeller,685.8,1,15.49,apc_propellers_27x13E,330.2,PER3_27x13E.dat,7.94,0.23201
apc_propellers_17x10N,Propeller,431.8,1,17.53,apc_propellers_17x10N,254.0,PER3_17x10N.dat,7.94,0.09811
apc_propellers_10x4,Propeller,254.0,1,11.94,apc_propellers_10x4,101.6,PER3_10x4.dat,6.35,0.03007
apc_propellers_9x4_7SF,Propeller,228.6,1,7.87,apc_propellers_9x4_7SF,119.38,PER3_9x47SF.dat,6.35,0.00907
apc_propellers_10x8,Propeller,254.0,1,12.7,apc_propellers_10x8,203.2,PER3_10x8.dat,6.35,0.02894
apc_propellers_13x10,Propeller,330.2,1,15.49,apc_propellers_13x10,254.0,PER3_13x10.dat,7.94,0.0601
apc_propellers_13_5x13_5,Propeller,342.9,1,15.49,apc_propellers_13_5x13_5,342.9,PER3_135x135.dat,7.94,0.0669
apc_propellers_11x4_5MR,Propeller,279.4,1,8.89,apc_propellers_11x4_5MR,114.3,PER3_11x45MR.dat,6.35,0.01701
apc_propellers_14x13N,Propeller,355.6,1,15.75,apc_propellers_14x13N,330.2,PER3_14x13N.dat,7.94,0.0689
