Battery_Weight,Battery_Capacity,Motor_Weight,Propeller_Weight,MV_omega_rad,MV_omega_RPM,MV_Voltage,MV_Thrust,MV_Torque,MV_Power,MV_Current,MV_Efficiency,MP_omega_rad,MP_omega_RPM,MP_Voltage,MP_Thrust,MP_Torque,MP_Power,MP_Current,MP_Efficiency,MC_omega_rad,MC_omega_RPM,MC_Voltage,MC_Thrust,MC_Torque,MC_Power,MC_Current,MC_Efficiency,MaxPower,MaxCur,PeakCur,ContCur,Aircraft_Weight,Aircraft_Thrust,Aircraft_Thrust2Weight,Aircraft_FlightTime,Battery,Motor,Propeller
0.109,2000.0,0.049,0.00399,958.14,9149.54,6.6,1.17,0.02,22.89,3.47,74.14,2397.53,22894.71,17.2,7.38,0.1,289.47,16.83,87.57,2983.79,28493.09,21.76,11.73,0.15,549.79,25.26,87.51,275.0,24.0,80.0,40.0,0.6681923,4.68,7.003971,115.27377,Turnigynano-tech2000mAh2040C,t_motor_AS2308KV1450,apc_propellers_5_5x4_5E
0.109,2000.0,0.049,0.00708,827.43,7901.36,6.6,4.63,0.08,90.85,13.77,77.89,1175.24,11222.73,10.13,10.67,0.17,289.47,28.58,74.33,1114.42,10641.9,9.45,8.97,0.15,238.77,25.26,75.26,275.0,24.0,80.0,40.0,0.68055236,18.52,27.21319,29.048656,Turnigynano-tech2000mAh2040C,t_motor_AS2308KV1450,apc_propellers_8x3_8SF
0.109,2000.0,0.049,0.00907,764.15,7297.09,6.6,5.98,0.11,123.75,18.75,73.08,985.63,9412.07,9.14,11.22,0.19,289.47,31.67,69.28,884.82,8449.41,7.94,9.09,0.15,200.57,25.26,71.13,275.0,24.0,80.0,40.0,0.6885124,23.92,34.74157,21.333334,Turnigynano-tech2000mAh2040C,t_motor_AS2308KV1450,apc_propellers_9x3_8SF
0.109,2000.0,0.049,0.00399,967.72,9241.03,6.6,0.82,0.01,17.91,2.71,68.85,2692.37,25710.25,19.0,6.46,0.09,289.47,15.23,88.53,3588.79,34270.46,25.75,11.71,0.15,650.45,25.26,88.97,275.0,24.0,80.0,40.0,0.6681923,3.28,4.9087663,147.60147,Turnigynano-tech2000mAh2040C,t_motor_AS2308KV1450,apc_propellers_5x5E
0.109,2000.0,0.049,0.02,736.05,7028.79,6.6,6.73,0.13,138.36,20.96,70.72,931.58,8895.95,8.86,11.06,0.2,289.47,32.65,67.56,814.43,7777.22,7.48,8.74,0.15,188.86,25.26,69.54,275.0,24.0,80.0,40.0,0.73223233,26.92,36.764286,19.08397,Turnigynano-tech2000mAh2040C,t_motor_AS2308KV1450,apc_propellers_10x5E
0.109,2000.0,0.049,0.00708,805.07,7687.87,6.6,4.74,0.09,102.48,15.53,76.3,1085.93,10369.9,9.66,15.71,0.18,289.47,29.97,72.13,1020.79,9747.86,8.83,8.03,0.15,223.19,25.26,73.75,275.0,24.0,80.0,40.0,0.68055236,18.96,27.859722,25.7566,Turnigynano-tech2000mAh2040C,t_motor_AS2308KV1450,apc_propellers_8x4_7SF
0.109,2000.0,0.049,0.02998,629.16,6008.07,6.6,9.38,0.18,193.93,29.38,61.12,707.78,6758.79,7.77,12.81,0.23,289.47,37.24,58.7,578.89,5528.01,5.92,9.39,0.15,149.67,25.26,62.37,275.0,24.0,80.0,40.0,0.77215236,37.52,48.591446,13.614704,Turnigynano-tech2000mAh2040C,t_motor_AS2308KV1450,apc_propellers_13x4E
0.109,2000.0,0.049,0.02214,613.32,5856.82,6.6,9.07,0.19,202.17,30.63,59.64,678.02,6474.62,7.63,12.94,0.23,289.47,37.91,57.28,554.09,5291.21,5.76,9.5,0.15,145.54,25.26,61.39,275.0,24.0,80.0,40.0,0.74079233,36.28,48.974586,13.0590925,Turnigynano-tech2000mAh2040C,t_motor_AS2308KV1450,apc_propellers_12x4_5MR
0.109,2000.0,0.049,0.00513,947.31,9046.13,6.6,1.6,0.02,28.52,4.32,77.49,2147.45,20506.64,15.69,8.6,0.11,289.47,18.46,86.36,2530.61,24165.56,18.78,12.19,0.15,474.39,25.26,86.02,275.0,24.0,80.0,40.0,0.6727524,6.4,9.513159,92.59259,Turnigynano-tech2000mAh2040C,t_motor_AS2308KV1450,apc_propellers_6x4E
0.109,2000.0,0.049,0.01193,666.65,6366.01,6.6,7.32,0.16,174.45,26.43,64.56,766.25,7317.19,8.05,11.55,0.22,289.47,35.95,61.32,652.93,6235.0,6.41,8.85,0.15,161.99,25.26,64.99,275.0,24.0,80.0,40.0,0.69995236,29.28,41.831417,15.134317,Turnigynano-tech2000mAh2040C,t_motor_AS2308KV1450,apc_propellers_10x4_7SF
